,0~4?,5~9?,10~14?,15~19?,20~24?,25~29?,30~34?,35~39?,40~44?,45~49?,50~54?,55~59?,60~64?,65~69?,70~74?,75~79?,80~84?,85~89?,90~94?,95~99?,100? ??
2008,"2,762","2,890","2,049","1,323","1,155","2,009","3,405","4,205","2,646","1,880","1,604","1,183","1,166","1,003",648,346,177,71,35,7,0
2009,"3,185","3,293","2,374","1,625","1,267","2,075","3,771","4,877","3,189","2,191","1,888","1,366","1,324","1,203",761,397,212,86,50,9,1
2010,"4,792","4,288","3,445","2,499","1,941","3,145","5,412","6,775","4,775","3,250","2,815","2,090","1,936","1,624","1,135",582,324,147,52,11,1
2011,"4,803","4,395","3,679","2,682","2,074","2,772","5,434","6,748","5,417","3,364","3,014","2,402","1,919","1,704","1,274",656,335,173,53,13,2
2012,"4,520","4,631","3,847","2,860","2,190","2,370","5,156","6,615","5,880","3,577","3,051","2,498","1,950","1,741","1,411",721,363,179,63,17,6
2013,"4,265","4,674","3,911","3,017","2,280","2,184","4,730","6,220","6,223","3,890","3,090","2,662","1,950","1,812","1,477",834,381,177,66,16,5
2014,"3,835","4,699","3,891","3,234","2,353","2,015","4,110","5,838","6,316","4,273","3,105","2,733","1,959","1,874","1,528",894,429,179,74,19,4
2015,"3,614","4,644","3,903","3,408","2,574","1,979","3,658","5,611","6,440","4,620","3,171","2,859","2,171","1,986","1,561","1,003",483,203,83,14,4
2016,"3,289","4,569","4,008","3,522","2,665","2,016","3,075","5,484","6,372","5,098","3,291","3,006","2,455","1,908","1,652","1,090",551,236,90,21,5
2017,"2,767","4,277","4,137","3,523","2,723","2,068","2,547","5,068","6,073","5,392","3,391","2,975","2,605","1,900","1,714","1,248",595,262,90,29,5
2018,"2,397","3,941","4,033","3,528","2,779","2,014","2,236","4,691","5,551","5,646","3,655","3,030","2,678","1,925","1,744","1,317",695,285,93,37,4
2019,"2,072","3,517","3,917","3,466","2,951","2,128","2,052","4,056","5,181","5,615","4,069","3,063","2,777","1,966","1,835","1,398",757,323,109,35,10
2020,"1,724","3,199","3,711","3,375","3,052","2,369","1,976","3,480","4,830","5,537","4,229","3,082","2,857","2,193","1,884","1,459",867,377,120,41,7
2021,"1,524","2,891","3,580","3,353","3,072","2,429","2,018","2,952","4,689","5,302","4,589","3,175","3,001","2,489","1,815","1,567",975,448,134,43,7
2022,"1,432","2,653","3,523","3,426","3,067","2,598","2,201","2,740","4,679","5,159","4,985","3,438","3,124","2,691","1,920","1,648","1,108",502,159,43,9
2023,"1,296","2,285","3,289","3,340","3,075","2,724","2,276","2,416","4,377","4,858","5,179","3,702","3,183","2,860","2,053","1,723","1,181",573,179,38,11
2024,"1,124","1,992","2,951","3,260","2,956","2,652","2,281","2,161","3,828","4,576","5,173","4,042","3,226","2,994","2,141","1,828","1,292",604,197,43,10
